term	df
start	618159
andrew	80942
foreleg	840
touch	61405
honey	10697
premier	143185
adapt	121126
direct	415061
famili	571658
member	711826
robin	29831
school	643698
loren	2072
state	1042357
weekli	77052
entertain	118503
terri	27361
worth	63111
dexter	6496
club	292242
kick	43381
fitz	2255
film	320779
kennedi	31244
harvard	39879
join	458945
valu	150044
dvd	52335
th	676141
william	273723
diana	12258
drama	94110
tucker	7926
mayor	82827
portray	77001
reckless	5132
youth	134191
biographi	33098
presid	342351
nigel	8913
curli	2715
dean	50724
boston	73046
tv	154939
seat	174831
boy	148983
tell	130352
hamilton	33980
american	679379
written	305263
act	375009
protest	96472
whether	128896
district	290078
inga	835
jame	221523
slept	5680
ken	27741
elect	286143
rate	209527
attend	324731
jr	84116
patrick	47277
harri	78771
version	249558
upon	284785
miniseri	9106
depend	136900
introduc	229594
feel	127445
young	296328
jfk	1651
massachusett	61327
publish	412167
perform	461702
quad	5555
citi	640539
oakland	16341
major	544839
recal	60455
lo	141986
loui	91266
februari	441897
nashvil	18113
indian	147567
angel	147910
palm	26884
free	263885
johnson	59994
spent	188872
marin	71912
pitcher	14771
tacoma	3569
dodger	6284
walk	116322
bullpen	2524
colleg	362993
rainer	2400
claim	268851
pitch	51391
round	214410
cleveland	30040
bandit	6842
allen	37104
draft	90834
relief	51819
post	322856
team	417616
seattl	30282
sign	316340
sixth	91584
organ	375504
springfield	11863
resign	103588
counti	296773
home	497295
agenc	115804
cardin	29956
charg	189898
strike	82850
athlet	92188
midland	18633
kentucki	28070
remaind	53046
game	316942
waiver	6558
red	213764
call	753961
compil	77460
assign	132348
mlb	10281
inning	17912
option	86711
roster	25720
man	306264
hit	179781
deal	184843
wahoo	460
sound	151232
era	127188
leagu	225505
river	258767
cincinnati	20850
multipl	142246
beach	75637
norway	38266
differ	455109
role	344759
denmark	34448
earn	207559
show	514077
girl	150816
noc	1278
european	207980
hall	205992
singl	381471
men	262759
base	689385
model	190536
olymp	67084
allot	10656
rank	201073
event	329942
world	721907
competit	202628
select	252399
pacif	103619
advanc	195501
consid	368541
nation	766010
challeng	152999
qualifi	103620
region	366481
point	436952
women	224282
winter	113987
qualif	31349
junior	103627
use	996991
distribut	151991
curl	7258
determin	166960
award	442883
tournament	88228
championship	170378
quarterfin	10275
asia	81044
mix	154236
medal	100724
bold	21129
sixteen	35755
cumul	7369
result	484391
knockout	12284
top	362674
tabl	90559
consist	337849
receiv	616811
non	329972
squad	59677
fail	202961
fa	29050
racial	62586
thrash	5326
trip	82365
offici	372491
eni	929
drawn	70862
teammat	30956
mate	29969
new	1159535
stadium	64463
twice	111129
player	238740
anonym	23384
reach	337725
discrimin	24917
excel	87458
brother	269240
match	179256
around	515306
upset	28022
eventu	293473
midfield	20082
alongsid	124714
penalti	43319
cap	52696
send	91595
spenc	2896
guardian	39617
substitut	50252
senior	180794
spencer	16349
chelsea	13469
birmingham	27084
kim	23889
coach	128974
newspap	127795
websit	111993
trophi	41676
defeat	197255
alleg	69375
titl	390934
contract	177641
offend	17668
arsen	16577
mark	272819
littl	257719
pursu	96227
tackl	25539
fulham	4077
page	98326
english	327947
broken	77342
centr	199681
shootout	8553
draw	145484
secur	202111
china	109978
save	140577
controversi	106592
attack	227235
pour	19425
bell	67211
impress	92696
fire	217219
weather	61051
messin	605
soldier	108085
factori	74150
renam	122985
mere	51497
berlin	59087
walker	32876
air	280490
thought	173543
area	606443
condit	195302
piec	141244
fort	75192
regent	18345
engin	226551
benefit	98931
prowess	5279
serv	616338
longest	47896
current	462596
croix	4956
opportun	125846
object	145925
lesson	34682
still	454311
barrack	15723
underground	51716
firmli	13600
energi	98763
leipzig	9950
see	307996
exceed	36777
corp	75160
per	240151
tunnel	32421
provid	503339
shift	84319
battl	184969
figur	169694
happen	110336
destin	49087
posit	441765
front	201659
diesel	20619
open	570249
oscil	6823
feet	79433
prove	131610
wagner	10865
difficult	116381
agreement	104753
cut	168465
gradual	65155
troop	88919
grass	30620
strateg	52204
locat	552949
torpedo	15446
period	368482
entir	237650
station	265308
construct	300546
cover	330091
rout	156328
valley	130002
wider	40838
couvert	306
bomb	60537
larg	498045
concret	40462
valuabl	42179
ha	17815
hostil	38068
ton	35067
total	342320
occur	211340
underestim	4328
plunder	8366
network	180380
annex	29739
abl	228939
skill	103944
lookout	5759
facilit	46881
stall	19091
defend	133692
give	335107
galleri	60025
great	373138
central	321664
der	36710
mg	8326
cupola	3295
encompass	36045
wood	110268
refug	23016
southern	230327
heat	66342
section	207568
firepow	3398
withdraw	45048
garrison	26226
resist	89206
protect	209337
technolog	171757
oper	459173
aim	125936
belong	123450
